idtweet,texto,data_tweet,emocao,emocaoId,quant_pessoa
1126587114987114496,#tiraamaodomeuif https://t.co/DMTNSjVWEY,1614246646942,nulo,6,2
1134239985618620416,#30MPelaEducacao https://t.co/APDSxuQnFJ,1614246646812,nulo,6,1
1132785816449757184,#BrasilNasRuas https://t.co/NYV0EOp4aR,1614246646978,nulo,6,1
1128842279626711041,"Preciso deixar um registro desse momento inesquecível nessa rede, orgulho define ❤️
#TsunamiDaEducação #TiraAMaoDaMinhaFederal #tiraamaodomeuif https://t.co/HjE0TKI82q",1614246646866,alegria,0,1
1133845017926262784,"ATENÇÃO BRASIL!!!

AMANHÃ É FERIADO ESCOLAR
#Dia30MeuFilhoNaoVai",1614246646994,raiva,3,1
1134229801886203905,#30M!! #RiodeJaneiro tá gigante!! @LulaOficial Livreeeee!!!! https://t.co/qZD12tU757,1614246646950,alegria,0,1
1134229801886203905,#30M!! #RiodeJaneiro tá gigante!! @LulaOficial Livreeeee!!!! https://t.co/qZD12tU757,1614246646950,medo,2,1
1132883054647742465,"[Escrito antes das manifestações] - 
Ato pró- Jair #Bolsonaro ( #PSC RJ) revela que governo vai mal: em cinco meses, presidente destruiu bases de apoio - 
https://t.co/A9yVS70bsK  - 
RT The Intercept Brasil - #BrasilNasRuas -",1614246646856,nulo,6,1
1160927010572648448,"Amanhã, 13 de Agosto, acontece a 3ª Mobilização Nacional em Defesa da Educação! 
Em Curitiba, o ato começa às 18h, na Praça Santos Andrade! Vamos às ruas pela educação pública!

#AmanhãÉRua #Tsunami13A #Dia13éRua https://t.co/UnXflEDPRi",1614246646966,alegria,0,1
1160927010572648448,"Amanhã, 13 de Agosto, acontece a 3ª Mobilização Nacional em Defesa da Educação! 
Em Curitiba, o ato começa às 18h, na Praça Santos Andrade! Vamos às ruas pela educação pública!

#AmanhãÉRua #Tsunami13A #Dia13éRua https://t.co/UnXflEDPRi",1614246646966,raiva,3,1
1128851330041307143,#TodosPelaEducação #TsunamiDaEducação  pode anotar essa medida provisória 870/2019 não vai conseguir passar por todo o trâmite pra virar lei. Vai perder força e vai obrigar o governo a gastar mais. E vai jogar a pá de cal.,1614246646959,raiva,3,1
1128851330041307143,#TodosPelaEducação #TsunamiDaEducação  pode anotar essa medida provisória 870/2019 não vai conseguir passar por todo o trâmite pra virar lei. Vai perder força e vai obrigar o governo a gastar mais. E vai jogar a pá de cal.,1614246646959,tristeza,4,1
1128851330041307143,#TodosPelaEducação #TsunamiDaEducação  pode anotar essa medida provisória 870/2019 não vai conseguir passar por todo o trâmite pra virar lei. Vai perder força e vai obrigar o governo a gastar mais. E vai jogar a pá de cal.,1614246646959,nulo,6,1
1133842513125679107,#Dia30MeuFilhoNaoVai https://t.co/LuHmfbEHw7,1614246646781,nulo,6,1
1134224752317554694,#30MpelaEducacao,1614246646965,nulo,6,1
1134230928954445824,#Dia30SeuFilhoFoi e eu tbm 🤝. #30MPelaEducação https://t.co/RiSOlvOTGJ,1614246646811,alegria,0,1
1133874418294431745,"#Dia30MeuFilhoNaoVai 
Não tem aula https://t.co/jcjSOt9DNL",1614246646889,nulo,6,1
1161483841070141440,"A concentração aconteceu no centro cultural Glauber Rocha, no bairro Brasil, às 14h. O ato, que faz parte da Greve Nacional pela Educação, chegou ao fim na praça 9 de novembro, no Centro, por volta das 17h30. #contraareformadaprevidência #educação #Tsunami13DeAgosto #Tsunami13A https://t.co/ylsT6N4eXC",1614246646890,nulo,6,1
1134217645555945472,Começou em Santos/SP #30MpelaEducacao #30M #Tsunami30M https://t.co/Vexwyz5C8A,1614246646938,nulo,6,1
1128731588366405632,"Aproveitando o #todospelaeducacao #NaRuaPelaEducacao #TsunamiDaEducação , indico novamente a leitura do meu artigo no Entendendo Bolsonaro, publicado hoje| Evitáveis, cortes na educação e ciência cobrarão alto preço social https://t.co/3UxRrZfbHT via @UOLNoticias @UOL",1614246646980,nulo,6,1
1126079469247180802,"4. Y así Andres Velásquez y Simón Calzadilla el #30M  desde el #DistribuidorAltamira, 2 más que le allanaron la inmunidad parlamentaria @jguaido ""aquí estanos para liberar a este país fuerza"", Velásquez  ""a la calle"", Calzadilla lo abraza ""máxima presión, así es"" https://t.co/xoY4gHrDN5",1614246646925,nulo,6,1
1144239232619294720,"Precisamos nos UNIR e focar, incansavelmente, no Congresso e na ""suprema corte""!
Precisamos SIM fazer o trabalho de informação daqueles que dependem da manipulação da extrema-imprensa e da mídia psolista.

#BrasilNasRuas como jamais visto! https://t.co/O4C0THIY23",1614246646825,alegria,0,1
1132786725942693889,@karinakufa #BrasilNasRuas,1614246646993,nulo,6,2
1133840375288934400,@o_antagonista Os que vão podem ser perigosos mesmo #Dia30MeuFilhoNaoVai,1614246646821,alegria,0,1
1133840375288934400,@o_antagonista Os que vão podem ser perigosos mesmo #Dia30MeuFilhoNaoVai,1614246646821,nulo,6,1
1133785174326554625,#30MpelaEducacao  e por todos https://t.co/xA023cP7TD,1614246646798,alegria,0,1
1133404542576582656,"O que é justo é para todos #contraareformadaprevidencia Defensores da reforma, Maia e Onyx não abrem mão de aposentadoria especial https://t.co/8DdCW7jn3W via @UOLNoticias @UOL",1614246646934,alegria,0,1
1128840641096683520,"Contra qualquer corte na educação eu digo NÃO ✊🏽 

#TsunamiDaEducação #todospelaeducacao #OrgulhoDeSerUFS https://t.co/60lXzCSubn",1614246646890,alegria,0,2
1161272934817849344,#13A: estudantes protestam hoje contra projetos e bloqueios na Educação https://t.co/lMMPKMbfNM,1614246646894,alegria,0,1
1128858666613002240,#todospelaeducacao https://t.co/qMUaNhdJJN,1614246646950,nulo,6,1
1132984688891633665,"@MinEconomia 
Enquanto pensam em lagostas, camarões, vinhos premiados internacionalmente, whisky 18 anos, aposentadorias 8 anos, privilégios absurdos, tenham certeza MUITAS MESAS FICAM SEM ARROZ E OVO.
@jairbolsonaro #BrasilNasRuas https://t.co/eVHFjNd4nf",1614246646847,raiva,3,1
1132984688891633665,"@MinEconomia 
Enquanto pensam em lagostas, camarões, vinhos premiados internacionalmente, whisky 18 anos, aposentadorias 8 anos, privilégios absurdos, tenham certeza MUITAS MESAS FICAM SEM ARROZ E OVO.
@jairbolsonaro #BrasilNasRuas https://t.co/eVHFjNd4nf",1614246646847,tristeza,4,1
1132984688891633665,"@MinEconomia 
Enquanto pensam em lagostas, camarões, vinhos premiados internacionalmente, whisky 18 anos, aposentadorias 8 anos, privilégios absurdos, tenham certeza MUITAS MESAS FICAM SEM ARROZ E OVO.
@jairbolsonaro #BrasilNasRuas https://t.co/eVHFjNd4nf",1614246646847,ironia,5,1
1132788050285727744,"Pra quem tenta desconstruir as manifestações, ñ vou postar nem as imagens da Paulista, nem das mais populosas capitais brasileiras.Deixo como representatividade a imagem de Vitória no Espírito Santo. Ela representará bem como foram as manifestações desse domingo.#BrasilNasRuas https://t.co/Ufj3HIEeLZ",1614246646933,raiva,3,1
1134149767628562439,"Que falta de respeito! A única camisa com as cores do Brasil foi queimada. Isso não é crime não? Nenhuma bandeira do nosso país. Que vergonha! Nojo dessa PTZADA. 👍👉👉🇧🇷
#Dia30EuVouTrabalhar 
#Dia30MeuFilhoNaoVai https://t.co/0YP4FXgnYJ",1614246646792,raiva,3,1
1128440806770130944,Não deu nem 10 minutos e já ta ai... #TsunamiDaEducacao https://t.co/lsnYetktBu,1614246646982,ironia,5,1
1161159974959099904,Día internacional del zurdo #FelizDiaDelZurdo #HappyLeftHanderDay #DeIzquierdasPaTo #YoSoyZurda #13A #13Agosto #13thAugust https://t.co/paiOil9RPO,1614246646941,alegria,0,1
1161159974959099904,Día internacional del zurdo #FelizDiaDelZurdo #HappyLeftHanderDay #DeIzquierdasPaTo #YoSoyZurda #13A #13Agosto #13thAugust https://t.co/paiOil9RPO,1614246646941,amor,1,1
1129015611785437184,Estas são as minhas favoritas #15M #TsunamiDaEducação #ForaBolsonaro #ForaWeintraub #TodosPelaEducação https://t.co/FdQKNZJkSB,1614246646774,alegria,0,1
1133860503556710408,Pela educação sei 🙄 #Dia30MeuFilhonaoVai https://t.co/XQAEZtpBlr,1614246646944,ironia,5,1
1128448992218689537,"Ñ lembro de Dilma e Lula e, todos os ladrões e terroristas que ocuparam ministérios em seus governos serem convocados a prestarem explicações sobre medida A ou B. Jogaram o país num lamaçal, entregaram nosso dinheiro à ditaduras e nos deixaram no fundo do poço. #TsunamiDaEducação",1614246646840,raiva,3,1
1128415681823870979,"Até novembro do ano passado este indivíduo figurava entre o quadro de docentes da Unifesp (Universidade Federal de São Paulo) de Osasco (SP).

O Weintraub era considerado ""um turista"" no campus, pelos colegas e alunos. Amanhã c/ o #TsunamiDaEducação vamos mostrar quem somos nós. https://t.co/pXr39flJcX",1614246646917,alegria,0,1
1134232987351048192,"SP - Subida da Rebouças 20:00h
""Se o povo se unir, Bolsonaro vai cair!""
#30MpelaEducacao #Tsunami30M #30M https://t.co/oSfnAHgSxa",1614246646755,raiva,3,1
