conteudo,id_str,alegria,amor,medo,raiva,tristeza,ironia,nulo
#tiraamaodomeuif https://t.co/DMTNSjVWEY,1126587114987114496,0,0,0,0,0,0,2
#30MPelaEducacao https://t.co/APDSxuQnFJ,1134239985618620416,0,0,0,0,0,0,1
#BrasilNasRuas https://t.co/NYV0EOp4aR,1132785816449757184,0,0,0,0,0,0,1
"Preciso deixar um registro desse momento inesquecível nessa rede, orgulho define ❤️
#TsunamiDaEducação #TiraAMaoDaMinhaFederal #tiraamaodomeuif https://t.co/HjE0TKI82q",1128842279626711041,1,0,0,0,0,0,0
"ATENÇÃO BRASIL!!!

AMANHÃ É FERIADO ESCOLAR
#Dia30MeuFilhoNaoVai",1133845017926262784,0,0,0,1,0,0,0
#30M!! #RiodeJaneiro tá gigante!! @LulaOficial Livreeeee!!!! https://t.co/qZD12tU757,1134229801886203905,1,0,1,0,0,0,0
"[Escrito antes das manifestações] - 
Ato pró- Jair #Bolsonaro ( #PSC RJ) revela que governo vai mal: em cinco meses, presidente destruiu bases de apoio - 
https://t.co/A9yVS70bsK  - 
RT The Intercept Brasil - #BrasilNasRuas -",1132883054647742465,0,0,0,0,0,0,1
"Amanhã, 13 de Agosto, acontece a 3ª Mobilização Nacional em Defesa da Educação! 
Em Curitiba, o ato começa às 18h, na Praça Santos Andrade! Vamos às ruas pela educação pública!

#AmanhãÉRua #Tsunami13A #Dia13éRua https://t.co/UnXflEDPRi",1160927010572648448,1,0,0,1,0,0,0
#TodosPelaEducação #TsunamiDaEducação  pode anotar essa medida provisória 870/2019 não vai conseguir passar por todo o trâmite pra virar lei. Vai perder força e vai obrigar o governo a gastar mais. E vai jogar a pá de cal.,1128851330041307143,0,0,0,1,1,0,1
#Dia30MeuFilhoNaoVai https://t.co/LuHmfbEHw7,1133842513125679107,0,0,0,0,0,0,1
#30MpelaEducacao,1134224752317554694,0,0,0,0,0,0,1
#Dia30SeuFilhoFoi e eu tbm 🤝. #30MPelaEducação https://t.co/RiSOlvOTGJ,1134230928954445824,1,0,0,0,0,0,0
"#Dia30MeuFilhoNaoVai 
Não tem aula https://t.co/jcjSOt9DNL",1133874418294431745,0,0,0,0,0,0,1
"A concentração aconteceu no centro cultural Glauber Rocha, no bairro Brasil, às 14h. O ato, que faz parte da Greve Nacional pela Educação, chegou ao fim na praça 9 de novembro, no Centro, por volta das 17h30. #contraareformadaprevidência #educação #Tsunami13DeAgosto #Tsunami13A https://t.co/ylsT6N4eXC",1161483841070141440,0,0,0,0,0,0,1
Começou em Santos/SP #30MpelaEducacao #30M #Tsunami30M https://t.co/Vexwyz5C8A,1134217645555945472,0,0,0,0,0,0,1
"Aproveitando o #todospelaeducacao #NaRuaPelaEducacao #TsunamiDaEducação , indico novamente a leitura do meu artigo no Entendendo Bolsonaro, publicado hoje| Evitáveis, cortes na educação e ciência cobrarão alto preço social https://t.co/3UxRrZfbHT via @UOLNoticias @UOL",1128731588366405632,0,0,0,0,0,0,1
"4. Y así Andres Velásquez y Simón Calzadilla el #30M  desde el #DistribuidorAltamira, 2 más que le allanaron la inmunidad parlamentaria @jguaido ""aquí estanos para liberar a este país fuerza"", Velásquez  ""a la calle"", Calzadilla lo abraza ""máxima presión, así es"" https://t.co/xoY4gHrDN5",1126079469247180802,0,0,0,0,0,0,1
"Precisamos nos UNIR e focar, incansavelmente, no Congresso e na ""suprema corte""!
Precisamos SIM fazer o trabalho de informação daqueles que dependem da manipulação da extrema-imprensa e da mídia psolista.

#BrasilNasRuas como jamais visto! https://t.co/O4C0THIY23",1144239232619294720,1,0,0,0,0,0,0
@karinakufa #BrasilNasRuas,1132786725942693889,0,0,0,0,0,0,2
@o_antagonista Os que vão podem ser perigosos mesmo #Dia30MeuFilhoNaoVai,1133840375288934400,1,0,0,0,0,0,1
#30MpelaEducacao  e por todos https://t.co/xA023cP7TD,1133785174326554625,1,0,0,0,0,0,0
"O que é justo é para todos #contraareformadaprevidencia Defensores da reforma, Maia e Onyx não abrem mão de aposentadoria especial https://t.co/8DdCW7jn3W via @UOLNoticias @UOL",1133404542576582656,1,0,0,0,0,0,0
"Contra qualquer corte na educação eu digo NÃO ✊🏽 

#TsunamiDaEducação #todospelaeducacao #OrgulhoDeSerUFS https://t.co/60lXzCSubn",1128840641096683520,2,0,0,0,0,0,0
#13A: estudantes protestam hoje contra projetos e bloqueios na Educação https://t.co/lMMPKMbfNM,1161272934817849344,1,0,0,0,0,0,0
#todospelaeducacao https://t.co/qMUaNhdJJN,1128858666613002240,0,0,0,0,0,0,1
"@MinEconomia 
Enquanto pensam em lagostas, camarões, vinhos premiados internacionalmente, whisky 18 anos, aposentadorias 8 anos, privilégios absurdos, tenham certeza MUITAS MESAS FICAM SEM ARROZ E OVO.
@jairbolsonaro #BrasilNasRuas https://t.co/eVHFjNd4nf",1132984688891633665,0,0,0,1,1,1,0
"Pra quem tenta desconstruir as manifestações, ñ vou postar nem as imagens da Paulista, nem das mais populosas capitais brasileiras.Deixo como representatividade a imagem de Vitória no Espírito Santo. Ela representará bem como foram as manifestações desse domingo.#BrasilNasRuas https://t.co/Ufj3HIEeLZ",1132788050285727744,0,0,0,1,0,0,0
"Que falta de respeito! A única camisa com as cores do Brasil foi queimada. Isso não é crime não? Nenhuma bandeira do nosso país. Que vergonha! Nojo dessa PTZADA. 👍👉👉🇧🇷
#Dia30EuVouTrabalhar 
#Dia30MeuFilhoNaoVai https://t.co/0YP4FXgnYJ",1134149767628562439,0,0,0,1,0,0,0
Não deu nem 10 minutos e já ta ai... #TsunamiDaEducacao https://t.co/lsnYetktBu,1128440806770130944,0,0,0,0,0,1,0
Día internacional del zurdo #FelizDiaDelZurdo #HappyLeftHanderDay #DeIzquierdasPaTo #YoSoyZurda #13A #13Agosto #13thAugust https://t.co/paiOil9RPO,1161159974959099904,1,1,0,0,0,0,0
Estas são as minhas favoritas #15M #TsunamiDaEducação #ForaBolsonaro #ForaWeintraub #TodosPelaEducação https://t.co/FdQKNZJkSB,1129015611785437184,1,0,0,0,0,0,0
Pela educação sei 🙄 #Dia30MeuFilhonaoVai https://t.co/XQAEZtpBlr,1133860503556710408,0,0,0,0,0,1,0
"Ñ lembro de Dilma e Lula e, todos os ladrões e terroristas que ocuparam ministérios em seus governos serem convocados a prestarem explicações sobre medida A ou B. Jogaram o país num lamaçal, entregaram nosso dinheiro à ditaduras e nos deixaram no fundo do poço. #TsunamiDaEducação",1128448992218689537,0,0,0,1,0,0,0
"Até novembro do ano passado este indivíduo figurava entre o quadro de docentes da Unifesp (Universidade Federal de São Paulo) de Osasco (SP).

O Weintraub era considerado ""um turista"" no campus, pelos colegas e alunos. Amanhã c/ o #TsunamiDaEducação vamos mostrar quem somos nós. https://t.co/pXr39flJcX",1128415681823870979,1,0,0,0,0,0,0
"SP - Subida da Rebouças 20:00h
""Se o povo se unir, Bolsonaro vai cair!""
#30MpelaEducacao #Tsunami30M #30M https://t.co/oSfnAHgSxa",1134232987351048192,0,0,0,1,0,0,0
"Hoje a nossa luta e aula foram na rua! Os ""inúteis"" fizeram um ato legítimo, pacífico e representativo.  

Não podemos ceder e aceitar esse pacote de retrocesso imposto pelo governo Bolsonaro! O sucateamento da universidade abre margem para a ignorância.

 #30MpelaEducacao https://t.co/y3LKkIzwFT",1134217337308102658,0,0,0,1,0,1,0
@50ChicoAlencar #30MpelaEducacao https://t.co/8cdwmuYSPZ,1133865153789923329,0,0,0,0,0,0,1
